方向,代碼,名稱,訂單價格,訂單數量,訂單金額,交易狀態,已成交@均價,下單時間,類型,期限,盤前競價,時段,觸發價,允許開倉,市場,幣種,訂單來源,成交數量,成交價格,成交金額,成交時間,市場,幣種,對手經紀,備註,佣金,平台使用費,交收費,印花稅,交易費,證監會徵費,財匯局徵費,證監會規費,交易活動費,期權監管費,期權清算費,期權交收費,綜合審計跟蹤監管費,合計費用
賣出,55925,恒指花旗八九牛O.C,0.034,"460,000","15,640.00",全部成交,"460,000@0.034",2026/04/24 11:05:31 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"90,000",0.034,"3,060.00",2026/04/24 11:05:31 (香港),港股,HKD,1401,,0,15,0.66,0,0.88,0.42,0.02,,,,,,,16.98
,,,,,,,,,,,,,,,,,,"370,000",0.034,"12,580.00",2026/04/24 11:05:31 (香港),港股,HKD,768,,,,,,,,,,,,,,,
賣出,55925,恒指花旗八九牛O.C,0.034,"1,100,000","37,400.00",下單失敗,0@0.00,2026/04/24 11:05:05 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
買入,55925,恒指花旗八九牛O.C,0.033,"1,000,000","33,000.00",全部成交,"1,000,000@0.033",2026/04/24 11:03:40 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"60,000",0.033,"1,980.00",2026/04/24 11:04:05 (香港),港股,HKD,768,,0,15,1.37,0,1.87,0.9,0.04,,,,,,,19.18
,,,,,,,,,,,,,,,,,,"110,000",0.033,"3,630.00",2026/04/24 11:04:05 (香港),港股,HKD,1444,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"10,000",0.033,330,2026/04/24 11:04:05 (香港),港股,HKD,741,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"40,000",0.033,"1,320.00",2026/04/24 11:04:05 (香港),港股,HKD,1057,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"30,000",0.033,990,2026/04/24 11:04:05 (香港),港股,HKD,738,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"120,000",0.033,"3,960.00",2026/04/24 11:04:05 (香港),港股,HKD,1444,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"120,000",0.033,"3,960.00",2026/04/24 11:04:05 (香港),港股,HKD,1455,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"30,000",0.033,990,2026/04/24 11:04:05 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"90,000",0.033,"2,970.00",2026/04/24 11:04:04 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"60,000",0.033,"1,980.00",2026/04/24 11:04:04 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"30,000",0.033,990,2026/04/24 11:04:04 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"60,000",0.033,"1,980.00",2026/04/24 11:04:04 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"20,000",0.033,660,2026/04/24 11:04:04 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"50,000",0.033,"1,650.00",2026/04/24 11:04:04 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"10,000",0.033,330,2026/04/24 11:04:04 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"160,000",0.033,"5,280.00",2026/04/24 11:04:04 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
買入,56728,恒指瑞銀八乙牛P.C,0.022,"300,000","6,600.00",已撤單,0@0.00,2026/04/24 10:53:34 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,56728,恒指瑞銀八乙牛P.C,0.023,"300,000","6,900.00",全部成交,"300,000@0.023",2026/04/24 10:44:30 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"300,000",0.023,"6,900.00",2026/04/24 10:46:25 (香港),港股,HKD,2240,,0,15,0.29,0,0.39,0.19,0.01,,,,,,,15.88
買入,56728,恒指瑞銀八乙牛P.C,0.021,"500,000","10,500.00",已撤單,0@0.00,2026/04/24 10:42:56 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
買入,56728,恒指瑞銀八乙牛P.C,0.02,"300,000","6,000.00",全部成交,"300,000@0.02",2026/04/24 10:36:37 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"300,000",0.02,"6,000.00",2026/04/24 10:37:24 (香港),港股,HKD,2453,,0,15,0.25,0,0.34,0.16,0.01,,,,,,,15.76
賣出,56728,恒指瑞銀八乙牛P.C,0.022,"1,000,000","22,000.00",下單失敗,0@0.00,2026/04/24 10:35:01 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,56728,恒指瑞銀八乙牛P.C,0.022,"1,000,000","22,000.00",全部成交,"1,000,000@0.022",2026/04/24 10:35:00 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"380,000",0.022,"8,360.00",2026/04/24 10:40:31 (香港),港股,HKD,2454,,0,15,0.92,0,1.24,0.6,0.03,,,,,,,17.79
,,,,,,,,,,,,,,,,,,"620,000",0.022,"13,640.00",2026/04/24 10:40:29 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
買入,56728,恒指瑞銀八乙牛P.C,0.018,"200,000","3,600.00",已撤單,0@0.00,2026/04/24 10:32:36 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
買入,56728,恒指瑞銀八乙牛P.C,0.021,"1,000,000","21,000.00",全部成交,"1,000,000@0.021",2026/04/24 10:31:23 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"720,000",0.021,"15,120.00",2026/04/24 10:31:30 (香港),港股,HKD,9696,,0,15,0.88,0,1.18,0.57,0.02,,,,,,,17.65
,,,,,,,,,,,,,,,,,,"50,000",0.021,"1,050.00",2026/04/24 10:31:30 (香港),港股,HKD,9081,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"100,000",0.021,"2,100.00",2026/04/24 10:31:30 (香港),港股,HKD,2455,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"130,000",0.021,"2,730.00",2026/04/24 10:31:30 (香港),港股,HKD,2452,,,,,,,,,,,,,,,
買入,55925,恒指花旗八九牛O.C,0.028,"500,000","14,000.00",已撤單,0@0.00,2026/04/24 10:30:12 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,55925,恒指花旗八九牛O.C,0.029,"1,000,000","29,000.00",全部成交,"1,000,000@0.029",2026/04/24 10:28:49 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"90,000",0.029,"2,610.00",2026/04/24 10:30:07 (香港),港股,HKD,741,,0,15,1.21,0,1.65,0.79,0.02,,,,,,,18.67
,,,,,,,,,,,,,,,,,,"80,000",0.029,"2,320.00",2026/04/24 10:30:07 (香港),港股,HKD,1444,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"110,000",0.029,"3,190.00",2026/04/24 10:30:07 (香港),港股,HKD,1455,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"40,000",0.029,"1,160.00",2026/04/24 10:30:06 (香港),港股,HKD,1443,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"110,000",0.029,"3,190.00",2026/04/24 10:30:06 (香港),港股,HKD,768,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"500,000",0.029,"14,500.00",2026/04/24 10:30:04 (香港),港股,HKD,8536,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"60,000",0.029,"1,740.00",2026/04/24 10:30:04 (香港),港股,HKD,743,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"10,000",0.029,290,2026/04/24 10:30:04 (香港),港股,HKD,1455,,,,,,,,,,,,,,,
買入,55925,恒指花旗八九牛O.C,0.028,"1,000,000","28,000.00",全部成交,"1,000,000@0.028",2026/04/24 10:24:22 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"1,000,000",0.028,"28,000.00",2026/04/24 10:24:23 (香港),港股,HKD,8594,,0,15,1.18,0,1.58,0.76,0.04,,,,,,,18.56
賣出,60981,恒指法興八二熊T.P,0.059,"500,000","29,500.00",全部成交,"500,000@0.059",2026/04/24 10:21:44 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"170,000",0.059,"10,030.00",2026/04/24 10:21:45 (香港),港股,HKD,1044,,0,15,1.24,0,1.67,0.8,0.05,,,,,,,18.76
,,,,,,,,,,,,,,,,,,"330,000",0.059,"19,470.00",2026/04/24 10:21:45 (香港),港股,HKD,2452,,,,,,,,,,,,,,,
買入,60981,恒指法興八二熊T.P,0.056,"500,000","28,000.00",全部成交,"500,000@0.056",2026/04/24 10:17:28 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"500,000",0.056,"28,000.00",2026/04/24 10:17:44 (香港),港股,HKD,9702,,0,15,1.18,0,1.58,0.76,0.04,,,,,,,18.56
賣出,55925,恒指花旗八九牛O.C,0.027,"1,190,000","32,130.00",全部成交,"1,190,000@0.027",2026/04/24 10:09:50 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"120,000",0.027,"3,240.00",2026/04/24 10:10:15 (香港),港股,HKD,1442,,0,15,1.37,0,1.8,0.87,0.02,,,,,,,19.06
,,,,,,,,,,,,,,,,,,"100,000",0.027,"2,700.00",2026/04/24 10:10:15 (香港),港股,HKD,738,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"100,000",0.027,"2,700.00",2026/04/24 10:10:14 (香港),港股,HKD,1044,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"50,000",0.027,"1,350.00",2026/04/24 10:10:14 (香港),港股,HKD,743,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"40,000",0.027,"1,080.00",2026/04/24 10:10:14 (香港),港股,HKD,1442,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"120,000",0.027,"3,240.00",2026/04/24 10:10:14 (香港),港股,HKD,1444,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"40,000",0.027,"1,080.00",2026/04/24 10:10:14 (香港),港股,HKD,1455,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"120,000",0.027,"3,240.00",2026/04/24 10:10:14 (香港),港股,HKD,1443,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"500,000",0.027,"13,500.00",2026/04/24 10:10:11 (香港),港股,HKD,8536,,,,,,,,,,,,,,,
賣出,55925,恒指花旗八九牛O.C,0.028,"10,000",280,全部成交,"10,000@0.028",2026/04/24 10:09:45 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"10,000",0.028,280,2026/04/24 10:10:40 (香港),港股,HKD,768,,0,15,0.01,0,0.02,0.01,0,,,,,,,15.04
買入,55925,恒指花旗八九牛O.C,0.025,"200,000","5,000.00",全部成交,"200,000@0.025",2026/04/24 10:06:13 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"200,000",0.025,"5,000.00",2026/04/24 10:06:13 (香港),港股,HKD,1444,,0,15,0.21,0,0.28,0.14,0.01,,,,,,,15.64
買入,55925,恒指花旗八九牛O.C,0.024,"1,000,000","24,000.00",全部成交,"1,000,000@0.024",2026/04/24 10:04:15 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"240,000",0.024,"5,760.00",2026/04/24 10:04:41 (香港),港股,HKD,511,,0,15,1,0,1.36,0.65,0.04,,,,,,,18.05
,,,,,,,,,,,,,,,,,,"560,000",0.024,"13,440.00",2026/04/24 10:04:41 (香港),港股,HKD,8500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"200,000",0.024,"4,800.00",2026/04/24 10:04:41 (香港),港股,HKD,1057,,,,,,,,,,,,,,,
賣出,56555,恒指法興八七牛7.C,0.016,"100,000","1,600.00",全部成交,"100,000@0.016",2026/04/24 10:03:12 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"100,000",0.016,"1,600.00",2026/04/24 10:04:01 (香港),港股,HKD,2453,,0,15,0.07,0,0.09,0.04,0,,,,,,,15.2
買入,56555,恒指法興八七牛7.C,0.015,"90,000","1,350.00",全部成交,"90,000@0.015",2026/04/24 10:00:48 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"90,000",0.015,"1,350.00",2026/04/24 10:00:53 (香港),港股,HKD,8500,,0,15,0.06,0,0.08,0.04,0,,,,,,,15.18
買入,56555,恒指法興八七牛7.C,0.018,"10,000",180,全部成交,"10,000@0.018",2026/04/24 10:00:24 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"10,000",0.018,180,2026/04/24 10:00:25 (香港),港股,HKD,511,,0,15,0.01,0,0.01,0.01,0,,,,,,,15.03
買入,PLTR260501C142000,PLTR 260501 142.00C,4.45,2,890,全部成交,2@4.44,2026/04/23 15:59:47 (美東),限價單,當日有效,,,,,美股,USD,,1,4.44,444,2026/04/23 15:59:48 (美東),美股,USD,,,1.99,0.6,,,,,,,,0.02,0.04,0.36,,3.01
,,,,,,,,,,,,,,,,,,1,4.44,444,2026/04/23 15:59:48 (美東),美股,USD,,,,,,,,,,,,,,,,
買入,LITE260501C850000,LITE 260501 850.00C,47.2,1,"4,720.00",全部成交,1@47.10,2026/04/23 15:58:07 (美東),限價單,當日有效,,,,,美股,USD,,1,47.1,"4,710.00",2026/04/23 15:58:08 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,SNDK260501C935000,SNDK 260501 935.00C,80.6,1,"8,060.00",全部成交,1@80.60,2026/04/23 15:57:17 (美東),限價單,當日有效,,,,,美股,USD,,1,80.6,"8,060.00",2026/04/23 15:57:17 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,SNDK260424C950000,SNDK 260424 950.00C,9.1,1,910,全部成交,1@9.10,2026/04/23 15:52:02 (美東),限價單,當日有效,,,,,美股,USD,,1,9.1,910,2026/04/23 15:54:41 (美東),美股,USD,,,1.99,0.3,,,,,,0.02,0.01,0.01,0.02,0.18,,2.53
買入,SNDK260424C950000,SNDK 260424 950.00C,20.2,1,"2,020.00",全部成交,1@20.14,2026/04/23 13:33:31 (美東),限價單,當日有效,,,,,美股,USD,,1,20.14,"2,014.00",2026/04/23 13:33:31 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,LITE260424P850000,LITE 260424 850.00P,18.1,2,"3,620.00",全部成交,2@18.255,2026/04/23 12:57:56 (美東),限價單,當日有效,,,,,美股,USD,,1,18.41,"1,841.00",2026/04/23 13:03:33 (美東),美股,USD,,,1.99,0.6,,,,,,0.08,0.02,0.02,0.04,0.36,,3.11
,,,,,,,,,,,,,,,,,,1,18.1,"1,810.00",2026/04/23 13:03:33 (美東),美股,USD,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,19,4,"7,600.00",全部成交,4@19.00,2026/04/23 12:53:42 (美東),限價單,當日有效,,,,,美股,USD,,4,19,"7,600.00",2026/04/23 13:03:41 (美東),美股,USD,,,2.6,1.2,,,,,,0.16,0.01,0.05,0.08,0.72,,4.82
賣出,LITE260424P850000,LITE 260424 850.00P,18.1,2,"3,620.00",全部成交,2@18.10,2026/04/23 12:52:03 (美東),限價單,當日有效,,,,,美股,USD,,2,18.1,"3,620.00",2026/04/23 13:03:33 (美東),美股,USD,,,1.99,0.6,,,,,,0.07,0.01,0.03,0.04,0.36,,3.1
賣出,LITE260424P850000,LITE 260424 850.00P,17.8,5,"8,900.00",已撤單,0@0.00,2026/04/23 12:48:06 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,18,6,"10,800.00",已撤單,0@0.00,2026/04/23 12:45:28 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,17.2,6,"10,320.00",已撤單,0@0.00,2026/04/23 12:45:10 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,17.2,1,"1,720.00",已撤單,0@0.00,2026/04/23 12:44:25 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,17.1,1,"1,710.00",全部成交,1@17.10,2026/04/23 12:43:59 (美東),限價單,當日有效,,,,,美股,USD,,1,17.1,"1,710.00",2026/04/23 12:44:02 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,LITE260424P850000,LITE 260424 850.00P,18.7,2,"3,740.00",已撤單,0@0.00,2026/04/23 12:43:28 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,18,1,"1,800.00",已撤單,0@0.00,2026/04/23 12:42:58 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,17.5,1,"1,750.00",全部成交,1@17.50,2026/04/23 12:42:41 (美東),限價單,當日有效,,,,,美股,USD,,1,17.5,"1,750.00",2026/04/23 12:42:41 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,LITE260424P850000,LITE 260424 850.00P,18,1,"1,800.00",已撤單,0@0.00,2026/04/23 12:41:32 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,18.8,2,"3,760.00",已撤單,0@0.00,2026/04/23 12:37:52 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,17.4,1,"1,740.00",已撤單,0@0.00,2026/04/23 12:37:28 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,16.2,1,"1,620.00",已撤單,0@0.00,2026/04/23 12:37:10 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,18.7,2,"3,740.00",已撤單,0@0.00,2026/04/23 12:36:53 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,16.3,1,"1,630.00",已撤單,0@0.00,2026/04/23 12:36:34 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,15.4,1,"1,540.00",已撤單,0@0.00,2026/04/23 12:36:22 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,17.1,1,"1,710.00",已撤單,0@0.00,2026/04/23 12:36:05 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,16.8,1,"1,680.00",全部成交,1@16.80,2026/04/23 12:35:37 (美東),限價單,當日有效,,,,,美股,USD,,1,16.8,"1,680.00",2026/04/23 12:35:48 (美東),美股,USD,,,1.99,0.3,,,,,,0.03,0.01,0.01,0.02,0.18,,2.54
買入,LITE260424P850000,LITE 260424 850.00P,16.8,1,"1,680.00",全部成交,1@16.80,2026/04/23 12:35:22 (美東),限價單,當日有效,,,,,美股,USD,,1,16.8,"1,680.00",2026/04/23 12:35:25 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,LITE260424P850000,LITE 260424 850.00P,15.8,1,"1,580.00",已撤單,0@0.00,2026/04/23 12:35:10 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,17.8,1,"1,780.00",已撤單,0@0.00,2026/04/23 12:34:53 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,17.6,1,"1,760.00",已撤單,0@0.00,2026/04/23 12:34:37 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,17.6,1,"1,760.00",全部成交,1@17.60,2026/04/23 12:34:25 (美東),限價單,當日有效,,,,,美股,USD,,1,17.6,"1,760.00",2026/04/23 12:34:26 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,LITE260424P850000,LITE 260424 850.00P,17.5,1,"1,750.00",全部成交,1@17.50,2026/04/23 12:34:01 (美東),限價單,當日有效,,,,,美股,USD,,1,17.5,"1,750.00",2026/04/23 12:34:01 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,LITE260424P850000,LITE 260424 850.00P,18,1,"1,800.00",全部成交,1@18.00,2026/04/23 12:33:25 (美東),限價單,當日有效,,,,,美股,USD,,1,18,"1,800.00",2026/04/23 12:33:25 (美東),美股,USD,,,1.99,0.3,,,,,,0.04,0.01,0.01,0.02,0.18,,2.55
買入,LITE260424P850000,LITE 260424 850.00P,17.1,1,"1,710.00",已撤單,0@0.00,2026/04/23 12:33:06 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,19,3,"5,700.00",已撤單,0@0.00,2026/04/23 12:32:41 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,17.9,1,"1,790.00",全部成交,1@17.90,2026/04/23 12:32:25 (美東),限價單,當日有效,,,,,美股,USD,,1,17.9,"1,790.00",2026/04/23 12:32:25 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,LITE260424P850000,LITE 260424 850.00P,18.3,1,"1,830.00",全部成交,1@18.30,2026/04/23 12:31:41 (美東),限價單,當日有效,,,,,美股,USD,,1,18.3,"1,830.00",2026/04/23 12:31:41 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,LITE260424P850000,LITE 260424 850.00P,18.6,1,"1,860.00",全部成交,1@18.60,2026/04/23 12:31:19 (美東),限價單,當日有效,,,,,美股,USD,,1,18.6,"1,860.00",2026/04/23 12:31:20 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,LITE260424P850000,LITE 260424 850.00P,18.6,1,"1,860.00",全部成交,1@18.60,2026/04/23 12:31:04 (美東),限價單,當日有效,,,,,美股,USD,,1,18.6,"1,860.00",2026/04/23 12:31:06 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,LITE260424P850000,LITE 260424 850.00P,20.3,1,"2,030.00",已撤單,0@0.00,2026/04/23 12:30:22 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,18.9,1,"1,890.00",已撤單,0@0.00,2026/04/23 12:30:01 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,19.5,1,"1,950.00",全部成交,1@19.50,2026/04/23 12:29:42 (美東),限價單,當日有效,,,,,美股,USD,,1,19.5,"1,950.00",2026/04/23 12:29:43 (美東),美股,USD,,,1.99,0.3,,,,,,0.04,0.01,0.01,0.02,0.18,,2.55
買入,LITE260424P850000,LITE 260424 850.00P,18,2,"3,600.00",已撤單,0@0.00,2026/04/23 12:29:27 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,20,1,"2,000.00",已撤單,0@0.00,2026/04/23 12:29:06 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,19.2,1,"1,920.00",已撤單,0@0.00,2026/04/23 12:28:54 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,19.5,1,"1,950.00",已撤單,0@0.00,2026/04/23 12:28:26 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,20,1,"2,000.00",已撤單,0@0.00,2026/04/23 12:28:01 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,18.9,1,"1,890.00",已撤單,0@0.00,2026/04/23 12:27:47 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,19.8,1,"1,980.00",全部成交,1@19.81,2026/04/23 12:26:06 (美東),限價單,當日有效,,,,,美股,USD,,1,19.81,"1,981.00",2026/04/23 12:26:06 (美東),美股,USD,,,1.99,0.3,,,,,,0.04,0.01,0.01,0.02,0.18,,2.55
買入,LITE260424P850000,LITE 260424 850.00P,18.6,1,"1,860.00",已撤單,0@0.00,2026/04/23 12:25:45 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,18.6,1,"1,860.00",已撤單,0@0.00,2026/04/23 12:25:45 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,18.9,1,"1,890.00",已撤單,0@0.00,2026/04/23 12:25:13 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,19,1,"1,900.00",已撤單,0@0.00,2026/04/23 12:24:27 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,LITE260424P850000,LITE 260424 850.00P,21,1,"2,100.00",已撤單,0@0.00,2026/04/23 12:16:10 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260424P850000,LITE 260424 850.00P,19.6,3,"5,880.00",全部成交,3@19.60,2026/04/23 12:13:11 (美東),限價單,當日有效,,,,,美股,USD,,3,19.6,"5,880.00",2026/04/23 12:13:11 (美東),美股,USD,,,1.99,0.9,,,,,,,,0.04,0.06,0.54,,3.53
賣出,LITE260501C870000,LITE 260501 870.00C,39.3,1,"3,930.00",全部成交,1@39.30,2026/04/23 12:11:57 (美東),限價單,當日有效,,,,,美股,USD,,1,39.3,"3,930.00",2026/04/23 12:11:58 (美東),美股,USD,,,1.99,0.3,,,,,,0.08,0.01,0.01,0.02,0.18,,2.59
賣出,LITE260501C870000,LITE 260501 870.00C,38.3,1,"3,830.00",全部成交,1@38.30,2026/04/23 12:11:33 (美東),限價單,當日有效,,,,,美股,USD,,1,38.3,"3,830.00",2026/04/23 12:11:33 (美東),美股,USD,,,1.99,0.3,,,,,,0.08,0.01,0.01,0.02,0.18,,2.59
