方向,代碼,名稱,訂單價格,訂單數量,訂單金額,交易狀態,已成交@均價,下單時間,類型,期限,盤前競價,時段,觸發價,允許開倉,市場,幣種,訂單來源,成交數量,成交價格,成交金額,成交時間,市場,幣種,對手經紀,備註,佣金,平台使用費,交收費,印花稅,交易費,證監會徵費,財匯局徵費,證監會規費,交易活動費,期權監管費,期權清算費,期權交收費,綜合審計跟蹤監管費,合計費用
買入,LITE260508P925000,LITE 260508 925.00P,50,1,"5,000.00",全部成交,1@50.00,2026/05/01 09:33:58 (美東),限價單,當日有效,,,,,美股,USD,,1,50,"5,000.00",2026/05/01 09:36:52 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,0,2.5
買入,SNDK260501C1065000,SNDK 260501 1065.00C,25.3,1,"2,530.00",全部成交,1@25.30,2026/05/01 09:32:28 (美東),限價單,當日有效,,,,,美股,USD,,1,25.3,"2,530.00",2026/05/01 09:34:45 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,0,2.5
買入,AKAN,Akanda,68.6,10,686,下單失敗,0@0.00,2026/05/01 00:17:46 (美東),限價單,當日有效,,全時段,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,STX260508C662500,STX 260508 662.50C,27,2,"5,400.00",下單失敗,0@0.00,2026/04/30 14:27:47 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,SNDK260508C1095000,SNDK 260508 1095.00C,92,1,"9,200.00",全部成交,1@92.00,2026/04/30 13:54:20 (美東),限價單,當日有效,,,,,美股,USD,,1,92,"9,200.00",2026/04/30 15:22:48 (美東),美股,USD,,,1.99,0.3,,,,,,0.19,0.01,0.01,0.02,0.18,,2.7
賣出,SNDK260508C1087500,SNDK 260508 1087.50C,90,1,"9,000.00",全部成交,1@90.00,2026/04/30 13:53:38 (美東),限價單,當日有效,,,,,美股,USD,,1,90,"9,000.00",2026/04/30 14:17:45 (美東),美股,USD,,,1.99,0.3,,,,,,0.19,0.01,0.01,0.02,0.18,,2.7
賣出,SNDK260508C1095000,SNDK 260508 1095.00C,77,1,"7,700.00",下單失敗,0@0.00,2026/04/30 13:52:33 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,STX260508C662500,STX 260508 662.50C,29,2,"5,800.00",全部成交,2@29.00,2026/04/30 13:11:53 (美東),限價單,當日有效,,,,,美股,USD,,2,29,"5,800.00",2026/04/30 15:40:08 (美東),美股,USD,,,1.99,0.6,,,,,,0.12,0.01,0.03,0.04,0.36,,3.15
賣出,STX260508C625000,STX 260508 625.00C,44.9,1,"4,490.00",下單失敗,0@0.00,2026/04/30 12:59:51 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,STX260508C625000,STX 260508 625.00C,44.9,1,"4,490.00",下單失敗,0@0.00,2026/04/30 12:59:15 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
